Sex,Age,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023,2023 - 2024,2024 - 2025,2025 - 2026,2026 - 2027,2027 - 2028,2028 - 2029,2029 - 2030,2030 - 2031,2031 - 2032,2032 - 2033,2033 - 2034,2034 - 2035,2035 - 2036,2036 - 2037,2037 - 2038,2038 - 2039
2,29,37.96923362,35.85364946,35.57739426,35.10985545,34.77440382,34.28130669,33.99789598,33.94622746,33.58242149,33.4568262,33.23355627,32.77107099,32.62762687,32.71550456,32.33483674,31.99632653,32.05088388,32.03653182,31.81123663,31.67872895,31.59837508,31.37848451,31.70648851,31.79015864,31.68484144
2,30,41.46462261,38.89414722,38.63124122,38.35048328,37.84431766,37.32991695,37.04791677,36.90926508,36.65720582,36.61061175,36.04886624,35.89711931,35.91424783,35.29891765,35.45133541,35.33627565,35.07985539,34.93930225,34.73868647,34.7236968,34.755979,34.38305107,34.5238698,34.79361063,34.56029678
2,31,44.65765691,42.19975391,41.45936982,41.21000642,40.9240836,40.38573838,40.34805155,40.04862735,40.04340876,39.37854661,39.20530623,39.09595057,38.79945361,38.60662264,38.66679632,38.1973208,38.10998162,38.17216131,37.83724298,37.95714638,37.64548672,37.84162069,37.89201253,37.67694091,37.66329689
2,32,48.37001014,45.61360511,45.04411808,44.7036761,44.2422509,43.7296266,43.36825313,43.36532535,43.04383261,42.74658506,42.52263957,42.01652798,41.69355679,41.92384897,41.29378001,41.34222915,40.93768349,41.1141461,41.01453953,40.72847192,40.66231588,40.56038022,40.6779661,40.67893378,40.82334729
2,33,52.1746201,49.34962626,48.4520257,48.14795799,47.75101638,47.30384801,46.78149936,46.58726513,46.39677378,45.83491573,45.46391249,45.46647968,45.28355235,45.19173257,44.83417047,44.45350828,44.48834976,44.15949756,44.13208473,44.11372616,44.12703656,43.88708408,43.73790063,43.77044938,43.71740499
2,34,56.7134873,53.15494893,52.63794021,52.2100562,51.49283657,51.03871587,50.82399517,50.50594552,50.02740632,49.43175452,49.28407252,49.24644449,48.84041342,48.77413602,48.47105902,48.20252336,48.07384142,47.86532066,47.85079887,47.86042674,47.45785694,47.52781485,47.36614026,47.41430671,47.34871361
2,35,61.24444455,57.99580489,57.40146925,56.68697385,56.0476043,55.60442465,55.07068333,54.6381671,54.29585479,54.18420672,53.6294971,53.45079418,53.5152853,53.12901068,52.54866547,52.47745628,52.3173754,52.21639114,51.99004436,51.84063442,51.89015797,51.83738081,51.73567014,51.92245407,51.65565052
2,36,67.15601864,63.52219971,62.69458154,62.10390478,61.64295407,61.02184469,60.62926798,60.21490029,59.78326336,59.18694429,58.76949732,58.48004643,58.26552056,57.7778061,57.83825777,57.64108816,57.36268945,57.10749405,57.2679959,57.01956455,56.99070398,56.85598215,56.45145659,56.67439574,56.47054078
2,37,73.75097185,69.61443727,68.92888758,67.87557348,67.51085237,67.08407871,66.25152062,65.90725094,65.37974924,64.94854334,64.3196643,64.02717888,63.78981914,63.7543449,63.33351044,63.42007149,63.19492319,62.93196478,62.59973276,62.33928154,62.52510132,62.16057057,62.07749537,62.29714039,62.12665455
2,38,81.05420815,76.23865274,75.39655934,74.34031818,73.96132815,73.14943191,72.5276215,71.93121747,71.63487204,70.98436112,70.77725482,70.3333178,69.93250751,69.31364092,69.4559719,69.09689298,68.7831366,68.96399284,68.4954281,68.31363244,68.32057481,68.02441574,68.02466654,68.23617745,67.8934364
2,39,88.36048115,83.2527425,82.13933045,81.46371576,80.96067034,79.8535567,79.49018195,78.67073584,77.8539469,77.37941708,76.82858738,76.39897241,76.14151222,75.85417688,75.51356933,75.3920386,74.87609283,74.58890613,74.52767808,74.29601751,74.27118551,74.31823343,73.99574753,73.90481714,74.17521414
2,40,96.27572594,90.94673331,89.9586768,88.50547949,87.48098995,87.06700974,86.15313833,85.10858662,84.53610811,83.9517515,83.07192682,82.84643375,82.41785854,81.90071813,81.50998334,81.22520182,81.06197745,80.82191635,80.77604841,80.26436384,80.04851694,79.95107268,80.2659325,79.68937129,79.96773232
2,41,105.0375109,98.37155201,97.55929314,96.21290434,94.92034665,93.80234506,92.98187443,92.03959056,91.20974525,90.43339072,89.62915935,88.79585741,88.67198624,88.02059771,87.6903797,87.41363544,86.74659536,86.54309507,86.37149315,86.13770705,85.80947863,85.83072274,85.88882978,85.55605126,85.86935298
